Tabel 1 Nitrogenase activity collected from literature,,,,,
Species,Original activity,Original unit,Transformed activity,Transformed unit,Literature
Herbispirillum rubrisubalbicans,180±3.45,nmolethylene/h/mg protein,180,nmol/mg/h,"Laskar, F. (2013). Isolation and characterisation of diazotrophic bacteria from rhizosphere of different rice cultivars of South Assam, India. Current World Environment, 8(1), 157."
Herbispirillum sp.,205±2.11 ,nmolethylene/h/mg protein,205,nmol/mg/h,"Laskar, F. (2013). Isolation and characterisation of diazotrophic bacteria from rhizosphere of different rice cultivars of South Assam, India. Current World Environment, 8(1), 157."
Heyndrickxia oleronius,0.8 ± 0.10,nmol C2H4/mL,0.033333,nmol/mL/h,"Puri, A., Padda, K. P., & Chanway, C. P. (2018). Evidence of endophytic diazotrophic bacteria in lodgepole pine and hybrid white spruce trees growing in soils with different nutrient statuses in the West Chilcotin region of British Columbia, Canada. Forest Ecology and Management, 430, 558-565."
Hydrogenobacter hydrogenophilus DSM 2913,16.6±7.51,pmol C2H4×106 cells−1 h−1,0.0166,nmol/h/10*6cells,"Nishihara, A., Matsuura, K., Tank, M., McGlynn, S. E., Thiel, V., & Haruta, S. (2018). Nitrogenase activity in thermophilic chemolithoautotrophic bacteria in the phylum Aquificae isolated under nitrogen-fixing conditions from Nakabusa hot springs. Microbes and environments, 33(4), 394-401."
Hydrogenobacter hydrogenophilus DSM 2913,3.37±2.10,pmol C2H4×106 cells−1 h−1,0.00337,nmol/h/10*6cells,"Nishihara, A., Matsuura, K., Tank, M., McGlynn, S. E., Thiel, V., & Haruta, S. (2018). Nitrogenase activity in thermophilic chemolithoautotrophic bacteria in the phylum Aquificae isolated under nitrogen-fixing conditions from Nakabusa hot springs. Microbes and environments, 33(4), 394-401."
Hydrogenobacter sp. GV4-1,46.5±8.54,pmol C2H4×106 cells−1 h−1,0.0465,nmol/h/10*6cells,"Nishihara, A., Matsuura, K., Tank, M., McGlynn, S. E., Thiel, V., & Haruta, S. (2018). Nitrogenase activity in thermophilic chemolithoautotrophic bacteria in the phylum Aquificae isolated under nitrogen-fixing conditions from Nakabusa hot springs. Microbes and environments, 33(4), 394-401."
Hydrogenobacter sp. GV4-1,7.01±2.23,pmol C2H4×106 cells−1 h−1,0.00701,nmol/h/10*6cells,"Nishihara, A., Matsuura, K., Tank, M., McGlynn, S. E., Thiel, V., & Haruta, S. (2018). Nitrogenase activity in thermophilic chemolithoautotrophic bacteria in the phylum Aquificae isolated under nitrogen-fixing conditions from Nakabusa hot springs. Microbes and environments, 33(4), 394-401."
Intrasporangium calvum strain DSM43043,0.22,(nmol C2H4/vail/h,0.22,nmol/tube/h,"Su, Y., Shinano, T., Purnomo, E., & OSAKI, M. (2007). Growth promotion of rice by inoculation of acid-tolerant, N2-fixing bacteria isolated from acid sulfate paddy soil in South Kalimantan, Indonesia. Tropics, 16(3), 261-274."
Klebisiela michiganensis A2,0.35,nmoles ethylene produced h− 1ml-1,0.35,nmol/mL/h,"Venado, R. E., Wilker, J., Pankievicz, V., Infante, V., MacIntyre, A., Wolf, E. S., ... & Ané, J. M. (2023). Mucilage Produced by Sorghum (Sorghum bicolor) Aerial Roots Hosts Diazotrophs that Provide Significant Amounts of Nitrogen to the Plant. BioRxiv, 2023-08."
Klebisiela variicola A3,0.85,nmoles ethylene produced h− 1ml-1,0.85,nmol/mL/h,"Venado, R. E., Wilker, J., Pankievicz, V., Infante, V., MacIntyre, A., Wolf, E. S., ... & Ané, J. M. (2023). Mucilage Produced by Sorghum (Sorghum bicolor) Aerial Roots Hosts Diazotrophs that Provide Significant Amounts of Nitrogen to the Plant. BioRxiv, 2023-08."
Klebisiela variicola KC539418,47.7± 1.1,nanomoles of ethylene produced mg−1 protein hr−1,47.7,nmol/mg/h,"Marag, P. S., & Suman, A. (2018). Growth stage and tissue specific colonization of endophytic bacteria having plant growth promoting traits in hybrid and composite maize (Zea mays L.). Microbiological Research, 214, 101-113."
Klebseilla pneumoniae,66.74 ± 0.02,µmoles/C2H4h −1 mL−1,66740,nmol/mL/h,"Yadav, A., Boruah, J. L. H., Geed, S. R., Sharma, R. K., & Saikia, R. (2023). Occurrence, identification and characterization of diazotrophic bacteria from aerial roots of Rhynchostylis retusa (L.) Blume for plant growth-promoting activity. Archives of Microbiology, 205(4), 131."
Klebsiella aerogenes,6.6to104,nmol C2H4 min−1 mg−1,3318,nmol/mg/h,"Neilson, A. H., & Sparell, L. (1976). Acetylene reduction (nitrogen fixation) by Enterobacteriaceae isolated from paper mill process waters. Applied and Environmental Microbiology, 32(2), 197-205."
Klebsiella aerogenes,12,nmol/ml,1,nmol/mL/h,"Baskar, B., & Prabakaran, P. (2015). Assessment of nitrogen fixing bacterial community present in the rhizosphere of Avicennia marina."
Klebsiella aerogenes,34,nmol/ml,2.833,nmol/mL/h,"Baskar, B., & Prabakaran, P. (2015). Assessment of nitrogen fixing bacterial community present in the rhizosphere of Avicennia marina."
Klebsiella aerogenes,18,nmol/ml,1.5,nmol/mL/h,"Baskar, B., & Prabakaran, P. (2015). Assessment of nitrogen fixing bacterial community present in the rhizosphere of Avicennia marina."
Klebsiella aerogenes,19.63 ± 1.83,n moL C2H4 mg protein h− 1,19.63,nmol/mg/h,"Singh, P., Singh, R. K., Li, H. B., Guo, D. J., Sharma, A., Lakshmanan, P., ... & Li, Y. R. (2021). Diazotrophic bacteria Pantoea dispersa and Enterobacter asburiae promote sugarcane growth by inducing nitrogen uptake and defense-related gene expression. Frontiers in microbiology, 11, 600417."
Klebsiella aerogenes,9.39 ± 0.84,n moL C2H4 mg protein h− 1,9.39,nmol/mg/h,"Singh, P., Singh, R. K., Li, H. B., Guo, D. J., Sharma, A., Lakshmanan, P., ... & Li, Y. R. (2021). Diazotrophic bacteria Pantoea dispersa and Enterobacter asburiae promote sugarcane growth by inducing nitrogen uptake and defense-related gene expression. Frontiers in microbiology, 11, 600417."
Klebsiella aerogenes,193,nmol/h/vial,193,nmol/tube/h,"Mukhtar, S., Zareen, M., Khaliq, Z., Mehnaz, S., & Malik, K. A. (2020). Phylogenetic analysis of halophyte‐associated rhizobacteria and effect of halotolerant and halophilic phosphate‐solubilizing biofertilizers on maize growth under salinity stress conditions. Journal of applied microbiology, 128(2), 556-573."
Klebsiella aerogenes,249,nmol/h/vial,249,nmol/tube/h,"Mukhtar, S., Zareen, M., Khaliq, Z., Mehnaz, S., & Malik, K. A. (2020). Phylogenetic analysis of halophyte‐associated rhizobacteria and effect of halotolerant and halophilic phosphate‐solubilizing biofertilizers on maize growth under salinity stress conditions. Journal of applied microbiology, 128(2), 556-573."
Klebsiella aerogenes DH1,9.07,n moL C2H4 mg protein h− 1,9.07,nmol/mg/h,"Guo, D. J., Singh, R. K., Singh, P., Li, D. P., Sharma, A., Xing, Y. X., ... & Li, Y. R. (2020). Complete genome sequence of Enterobacter roggenkampii ED5, a nitrogen fixing plant growth promoting endophytic bacterium with biocontrol and stress tolerance properties, isolated from sugarcane root. Frontiers in microbiology, 11, 580081."
Klebsiella electrica Rd210413,43.6,nmol·m L−1·h−1,43.6,nmol/mL/h,"Huang, Q., Feng, Y., Shan, H. W., Chen, J. P., & Wu, W. (2023). A novel nitrogen-fixing Bacterium Raoultella electrica isolated from the midgut of the leafhopper Recilia dorsalis. Insects, 14(5), 431."
Klebsiella grimonti,2.51,nmol/mL/h,2.51,nmol/mL/h,"Kumar, S. B., Kalwasińska, A., Świątczak, J., Brzezinska, M. S., & Kęsy, J. (2024). Characterization of salt-tolerant diazotrophs with plant growth-promoting potential isolated from soda industry-affected technosoils. Plant and Soil, 1-14."
Klebsiella michiganensis,646.25 ± 38.61,nmol·mL− 1·h− 1 C2H4,646.25 ± 38.61,nmol/mL/h,"Liang, P., Jiang, J., Sun, Z., Li, Y., Yang, C., & Zhou, Y. (2023). Klebsiella michiganensis: a nitrogen-fixing endohyphal bacterium from Ustilago maydis. AMB Express, 13(1), 146."
Klebsiella michiganensis W14 JQ070300,25.9,nmol C 2 H 4 h –1,25.9,nmol/tube/h,"Samayoa, B. E., Shen, F. T., Lai, W. A., & Chen, W. C. (2020). Screening and Assessment of Potential Plant Growth-promoting Bacteria Associated with Allium cepa Linn. Microbes and environments, 35(2), ME19147."
Klebsiella oryzae,2.86 ± 0.32,n moL C2H4 mg protein h− 1,2.86,nmol/mg/h,"Singh, P., Singh, R. K., Li, H. B., Guo, D. J., Sharma, A., Lakshmanan, P., ... & Li, Y. R. (2021). Diazotrophic bacteria Pantoea dispersa and Enterobacter asburiae promote sugarcane growth by inducing nitrogen uptake and defense-related gene expression. Frontiers in microbiology, 11, 600417."
Klebsiella oryzae,264,nmolethylene24h-1ml-1,11,nmol/mL/h,"Xu, J. (2014). Isolation and assessment of nitrogen-fixing and phosphate-solubilizing bacteria for use as biofertilizers (Doctoral dissertation, Auburn University)."
Klebsiella oryzae DF1,13.05,n moL C2H4 mg protein h− 1,13.05,nmol/mg/h,"Guo, D. J., Singh, R. K., Singh, P., Li, D. P., Sharma, A., Xing, Y. X., ... & Li, Y. R. (2020). Complete genome sequence of Enterobacter roggenkampii ED5, a nitrogen fixing plant growth promoting endophytic bacterium with biocontrol and stress tolerance properties, isolated from sugarcane root. Frontiers in microbiology, 11, 580081."
Klebsiella oryzae R15,16.4,n moL C2H4 mg protein h− 1,16.4,nmol/mg/h,"Guo, D. J., Singh, R. K., Singh, P., Li, D. P., Sharma, A., Xing, Y. X., ... & Li, Y. R. (2020). Complete genome sequence of Enterobacter roggenkampii ED5, a nitrogen fixing plant growth promoting endophytic bacterium with biocontrol and stress tolerance properties, isolated from sugarcane root. Frontiers in microbiology, 11, 580081."
Klebsiella oxytoca,20.4,(nM ethylene produced g -1 day -1,20.4,nmol/tube/h,"Shrestha, A., Toyota, K., Nakano, Y., Okazaki, M., Quevedo, M. A., Loreto, A. B., ... & Abayon, E. I. (2006). Nitrogen-fixing activity in various parts of sago palm (Metroxylon sagu) and characterization of aerobic nitrogen-fixing bacteria colonizing the sago palm. Sago Palm, 14(1), 20-32."
Klebsiella oxytoca,0,nmol/h/vial,0,nmol/tube/h,"Mukhtar, S., Zareen, M., Khaliq, Z., Mehnaz, S., & Malik, K. A. (2020). Phylogenetic analysis of halophyte‐associated rhizobacteria and effect of halotolerant and halophilic phosphate‐solubilizing biofertilizers on maize growth under salinity stress conditions. Journal of applied microbiology, 128(2), 556-573."
Klebsiella oxytoca,10.42,nmol C2H4 mg protein h−1,10.42,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Guo, D. J., Song, Q. Q., Yang, L. T., ... & Li, Y. R. (2020). Plant-PGPR interaction study of plant growth-promoting diazotrophs Kosakonia radicincitans BA1 and Stenotrophomonas maltophilia COA2 to enhance growth and stress-related gene expression in Saccharum spp. Journal of Plant Interactions, 15(1), 427-445."
Klebsiella oxytoca,71.85,nmol C2H4/mL/h,71.85,nmol/mL/h,"Hao, J., Zhang, X., Qiu, S., Song, F., Lyu, X., Ma, Y., & Peng, H. (2024). Species Diversity, Nitrogen Fixation, and Nutrient Solubilization Activities of Endophytic Bacteria in Pea Embryos. Applied Sciences, 14(2), 788."
Klebsiella oxytoca strain GR‐3,1·25,μmol C2H4 formed per mg protein h−1,1250,nmol/mg/h,"Jha, P. N., & Kumar, A. (2007). Endophytic colonization of Typha australis by a plant growth‐promoting bacterium Klebsiella oxytoca strain GR‐3. Journal of Applied Microbiology, 103(4), 1311-1320."
Klebsiella pasteurii BDA134-6,0.160 ± 0.024,nmol Ethylene/mg Cells/min,9.6,nmol/mg/h,"Bianco, C., Andreozzi, A., Romano, S., Fagorzi, C., Cangioli, L., Prieto, P., ... & Defez, R. (2021). Endophytes from african rice (Oryza glaberrima L.) efficiently colonize asian rice (Oryza sativa L.) stimulating the activity of its antioxidant enzymes and increasing the content of nitrogen, carbon, and chlorophyll. Microorganisms, 9(8), 1714."
Klebsiella pneumonia,19.07 ± 8.95,n moles C2H4 produced culture −1 h−1,19.07,nmol/tube/h,"Shabanamol, S., Divya, K., George, T. K., Rishad, K. S., Sreekumar, T. S., & Jisha, M. S. (2018). Characterization and in planta nitrogen fixation of plant growth promoting endophytic diazotrophic Lysinibacillus sphaericus isolated from rice (Oryza sativa). Physiological and Molecular Plant Pathology, 102, 46-54."
Klebsiella pneumonia,68.88±2.55,nmolethylene/h/mg protein,68.88,nmol/mg/h,"Laskar, F. (2013). Isolation and characterisation of diazotrophic bacteria from rhizosphere of different rice cultivars of South Assam, India. Current World Environment, 8(1), 157."
Klebsiella pneumonia,37.1,(nM ethylene produced g -1 day -1,37.1,nmol/tube/h,"Shrestha, A., Toyota, K., Nakano, Y., Okazaki, M., Quevedo, M. A., Loreto, A. B., ... & Abayon, E. I. (2006). Nitrogen-fixing activity in various parts of sago palm (Metroxylon sagu) and characterization of aerobic nitrogen-fixing bacteria colonizing the sago palm. Sago Palm, 14(1), 20-32."
Klebsiella pneumonia,12.4,(nM ethylene produced g -1 day -1,12.4,nmol/tube/h,"Shrestha, A., Toyota, K., Nakano, Y., Okazaki, M., Quevedo, M. A., Loreto, A. B., ... & Abayon, E. I. (2006). Nitrogen-fixing activity in various parts of sago palm (Metroxylon sagu) and characterization of aerobic nitrogen-fixing bacteria colonizing the sago palm. Sago Palm, 14(1), 20-32."
Klebsiella pneumonia,28.9,(nM ethylene produced g -1 day -1,28.9,nmol/tube/h,"Shrestha, A., Toyota, K., Nakano, Y., Okazaki, M., Quevedo, M. A., Loreto, A. B., ... & Abayon, E. I. (2006). Nitrogen-fixing activity in various parts of sago palm (Metroxylon sagu) and characterization of aerobic nitrogen-fixing bacteria colonizing the sago palm. Sago Palm, 14(1), 20-32."
Klebsiella pneumonia CEW 61S,134.92 ± 2.68,"nmol 
C2H4/mg protein/day",5.622,nmol/mg/h,"Yousuf, J., Thajudeen, J., Aneesa, P. A., Joseph, A., Divya, P. S., Varghese, A., & AA, M. H. (2020). Diversity and activity of culturable nitrogen fixing heterotrophic bacteria from estuarine and coastal environments of Southeastern Arabian Sea (SEAS). Regional Studies in Marine Science, 33, 100973."
Klebsiella pneumoniae,13to124,nmol C2H4 min−1 mg−1,4110,nmol/mg/h,"Neilson, A. H., & Sparell, L. (1976). Acetylene reduction (nitrogen fixation) by Enterobacteriaceae isolated from paper mill process waters. Applied and Environmental Microbiology, 32(2), 197-205."
Klebsiella pneumoniae,151.58,nmol ethylene/h/mg protein/h.,151.58,nmol/mg/h,"Sarathambal, C., Ilamurugu, K., Balachandar, D., Chinnadurai, C., & Gharde, Y. (2015). Characterization and crop production efficiency of diazotrophic isolates from the rhizosphere of semi-arid tropical grasses of India. Applied Soil Ecology, 87, 1-10."
Klebsiella pneumoniae,108.4,nmol ethylene/h/mg protein/h.,108.4,nmol/mg/h,"Sarathambal, C., Ilamurugu, K., Balachandar, D., Chinnadurai, C., & Gharde, Y. (2015). Characterization and crop production efficiency of diazotrophic isolates from the rhizosphere of semi-arid tropical grasses of India. Applied Soil Ecology, 87, 1-10."
Klebsiella pneumoniae,103.077,nmol/mL/h,103.077,nmol/mL/h,"Zhang, X., Tong, J., Dong, M., Akhtar, K., & He, B. (2022). Isolation, identification and characterization of nitrogen fixing endophytic bacteria and their effects on cassava production. PeerJ, 10, e12677."
"Klebsiella pneumoniae ATCC 13,383",34.56 ± 0.01,µmoles/C2H4h −1 mL−1,34560,nmol/mL/h,"Yadav, A., Boruah, J. L. H., Geed, S. R., Sharma, R. K., & Saikia, R. (2023). Occurrence, identification and characterization of diazotrophic bacteria from aerial roots of Rhynchostylis retusa (L.) Blume for plant growth-promoting activity. Archives of Microbiology, 205(4), 131."
Klebsiella pneumoniae DSM 30104 (NR_117683),10.32 ± 0.41,nmole C2H4 produced mg−1 dry bacteria h−1,10.32,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Klebsiella pneumoniae DSM 30104 (NR_117683),48.4 ± 1.21,nmole C2H4 produced mg−1 dry bacteria h−1,48.4,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Klebsiella pneumoniae DSM 30104 (NR_117686),52.75 ± 0.45,nmole C2H4 produced mg−1 dry bacteria h−1,52.75,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Klebsiella pneumoniae DSM 30104 (NR_117686),11.11 ± 0.37,nmole C2H4 produced mg−1 dry bacteria h−1,11.11,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Klebsiella pneumoniae Kp1,1907,nmol C2H4 produced min(-1) mg(-1) cell protein,114420,nmol/mg/h,"YOUSAFZAI, F. K., BUCK, M., & SMITH, B. E. (1996). Isolation and characterization of nitrogenase MoFe protein from the mutant strain pHK17 of Klebsiella pneumoniae in which the two bridging cysteine residues of the P-clusters are replaced by the non-coordinating amino acid alanine. Biochemical Journal, 318(1), 111-118."
Klebsiella pneumoniae N5,638.55,n moles C2H4h− 1 g− 1 dry root,638.55,nmol/g nodule/h,"Gauswami, A., Jha, S., Patel, S., Suthar, H., Parekh, V., & Jajda, H. (2023). Diazotrophic endophyte Klebsiella pneumoniae N5 from sorghum show cross-colonization and plant growth promotion in Rice."
Klebsiella pneumoniae S4C10,13.17,nmol C2H4/µg/protien/hour,13170,nmol/mg/h,"Kshetri, L., Pandey, P., & Sharma, G. D. (2018). Rhizosphere mediated nutrient management in Allium hookeri Thwaites by using phosphate solubilizing rhizobacteria and tricalcium phosphate amended soil. Journal of Plant Interactions, 13(1), 256-269."
Klebsiella pneumoniae S4C9,19.08,nmol C2H4/µg/protien/hour,19080,nmol/mg/h,"Kshetri, L., Pandey, P., & Sharma, G. D. (2018). Rhizosphere mediated nutrient management in Allium hookeri Thwaites by using phosphate solubilizing rhizobacteria and tricalcium phosphate amended soil. Journal of Plant Interactions, 13(1), 256-269."
Klebsiella pneumoniae S6C1,19.15,nmol C2H4/µg/protien/hour,19150,nmol/mg/h,"Kshetri, L., Pandey, P., & Sharma, G. D. (2018). Rhizosphere mediated nutrient management in Allium hookeri Thwaites by using phosphate solubilizing rhizobacteria and tricalcium phosphate amended soil. Journal of Plant Interactions, 13(1), 256-269."
Klebsiella pneumoniae strain DSM 30104 (NR_117683),13.41 ± 2.17,nmole C2H4 produced mg−1 dry bacteria h−1,13.41,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Klebsiella pneumoniae strain LB-AMP3KSU,4,n mole C2H4/ml/ h,4,nmol/mL/h,"Nabayi, A., Sung, C. T. B., Zuan, A. T. K., Paing, T. N., & Akhir, N. I. M. (2021). Chemical and microbial characterization of washed rice water waste to assess its potential as plant fertilizer and for increasing soil health. Agronomy, 11(12), 2391."
Klebsiella quasipneumonia CEW W7,118,"nmol 
C2H4/mg protein/day",4.917,nmol/mg/h,"Yousuf, J., Thajudeen, J., Aneesa, P. A., Joseph, A., Divya, P. S., Varghese, A., & AA, M. H. (2020). Diversity and activity of culturable nitrogen fixing heterotrophic bacteria from estuarine and coastal environments of Southeastern Arabian Sea (SEAS). Regional Studies in Marine Science, 33, 100973."
Klebsiella quasipneumoniae S6C2,28.638,nmol C2H4/µg/protien/hour,28638,nmol/mg/h,"Kshetri, L., Pandey, P., & Sharma, G. D. (2018). Rhizosphere mediated nutrient management in Allium hookeri Thwaites by using phosphate solubilizing rhizobacteria and tricalcium phosphate amended soil. Journal of Plant Interactions, 13(1), 256-269."
Klebsiella sp.,61.57,nmol ethylene/h/mg protein/h.,61.57,nmol/mg/h,"Sarathambal, C., Ilamurugu, K., Balachandar, D., Chinnadurai, C., & Gharde, Y. (2015). Characterization and crop production efficiency of diazotrophic isolates from the rhizosphere of semi-arid tropical grasses of India. Applied Soil Ecology, 87, 1-10."
Klebsiella sp.,55,nmol/h/vial,55,nmol/tube/h,"Puri, R. R., Dangi, S. R., Dhungana, S. A., & Itoh, K. (2018). Diversity and plant growth promoting ability of culturable endophytic bacteria in Nepalese sweet potato. Advances in Microbiology, 8(9), 734-761."
Klebsiella sp.,1.8,u mol C2H4.h−1.mg−1,1800,nmol/mg/h,"Sharma, S., Kulkarni, J., & Jha, B. (2016). Halotolerant rhizobacteria promote growth and enhance salinity tolerance in peanut. Frontiers in microbiology, 7, 1600."
Klebsiella sp. N5,638.55,nmol C2H4 h-1 g-1,638.55,nmol/g nodule/h,"Gauswami, A., Jha, S., Patel, S., Suthar, H., Parekh, V., Jha, A., & Jajda, H. (2024). DIAZOTROPHIC ENDOPHYTE Klebsiella sp. N5 FROM SORGHUM SHOWS CROSS-COLONIZATION AND PLANT GROWTH PROMOTION IN RICE. Journal of microbiology, biotechnology and food sciences, e10361-e10361."
Klebsiella sp. strain PMnew,46.26 ± 0.01,nanomol ethylene/ h/mg dry wt,46.26,nmol/mg/h,"Mukherjee, T., Banik, A., & Mukhopadhyay, S. K. (2020). Plant growth-promoting traits of a thermophilic strain of the klebsiella group with its effect on rice plant growth. Current Microbiology, 77(10), 2613-2622."
Klebsiella sp. strain zmmo,0.84±0.58,(nmole C2H4 mg-1 protein h-1,0.84,nmol/mg/h,"Bhromsiri, C., & Bhromsiri, A. (2010). Isolation, screening of growth-promoting activities and diversity of rhizobacteria from vetiver grass and rice plants. Thai Journal of Agricultural Science, 43(4), 217-230."
Klebsiella spallanzanii,2.03,nmol/mL/h,2.03,nmol/mL/h,"Kumar, S. B., Kalwasińska, A., Świątczak, J., Brzezinska, M. S., & Kęsy, J. (2024). Characterization of salt-tolerant diazotrophs with plant growth-promoting potential isolated from soda industry-affected technosoils. Plant and Soil, 1-14."
Klebsiella variicola,42,nmol of C2H4h−1 culture−1,42,nmol/tube/h,"Kifle, M. H., & Laing, M. D. (2016). Isolation and screening of bacteria for their diazotrophic potential and their influence on growth promotion of maize seedlings in greenhouses. Frontiers in plant science, 6, 1225."
Klebsiella variicola (KC853300),0.061 ± 0.012,nmol C2H4 plants−1 min−1,3.66,nmol/plant/h,"Defez, R., Andreozzi, A., & Bianco, C. (2017). The overproduction of indole-3-acetic acid (IAA) in endophytes upregulates nitrogen fixation in both bacterial cultures and inoculated rice plants. Microbial Ecology, 74(2), 441-452."
Klebsiella variicola ATCC BAA-830T,21.7 ± 1.75,nmol of ethylene h−1,21.7 ± 1.75,nmol/tube/h,"Rios-Galicia, B., Villagómez-Garfias, C., De la Vega-Camarillo, E., Guerra-Camacho, J. E., Medina-Jaritz, N., Arteaga-Garibay, R. I., ... & Hernández-Rodríguez, C. (2021). The Mexican giant maize of Jala landrace harbour plant-growth-promoting rhizospheric and endophytic bacteria. 3 Biotech, 11(10), 447."
Klebsiella variicola CCW 62C,151.78 ± 1.80,"nmol 
C2H4/mg protein/day",6.324,nmol/mg/h,"Yousuf, J., Thajudeen, J., Aneesa, P. A., Joseph, A., Divya, P. S., Varghese, A., & AA, M. H. (2020). Diversity and activity of culturable nitrogen fixing heterotrophic bacteria from estuarine and coastal environments of Southeastern Arabian Sea (SEAS). Regional Studies in Marine Science, 33, 100973."
Klebsiella variicola DSM 15968,298.64,μmol C2H4/(L·h),298.64,nmol/mL/h,"尹坤, 阳洁, 顾文杰, 袁涛, & 谭志远. (2015). Isolation and characterization of plant growth promotion of efficient endophytic diazotrophs from Oryza officinalis wall in Cenxi. Microbiology China, 42(8), 1482-1491."
Klebsiella variicola DX120E,32.72  ± 0.73,nmoles C2H4 mg−1 protein hr−1,32.72,nmol/mg/h,"Guo, D. J., Singh, P., Yang, B., Singh, R. K., Verma, K. K., Sharma, A., ... & Li, Y. R. (2023). Complete genome analysis of sugarcane root associated endophytic diazotroph Pseudomonas aeruginosa DJ06 revealing versatile molecular mechanism involved in sugarcane development. Frontiers in Microbiology, 14, 1096754."
Klebsiella variicola F2R9,178.2 ± 22.6,nmol C2H4/h/culture,178.2,nmol/tube/h,"Navarro-Noya, Y. E., Hernández-Mendoza, E., Morales-Jiménez, J., Jan-Roblero, J., Martínez-Romero, E., & Hernández-Rodríguez, C. (2012). Isolation and characterization of nitrogen fixing heterotrophic bacteria from the rhizosphere of pioneer plants growing on mine tailings. Applied Soil Ecology, 62, 52-60."
Klebsiella variicola R3J3HD7,28.5 ± 8.6,nmol of ethylene h−1,28.5 ± 8.6,nmol/tube/h,"De la Vega-Camarillo, E., Sotelo-Aguilar, J., Rios-Galicia, B., Mercado-Flores, Y., Arteaga-Garibay, R., Villa-Tanaca, L., & Hernández-Rodríguez, C. (2023). Promotion of the growth and yield of Zea mays by synthetic microbial communities from Jala maize. Frontiers in Microbiology, 14, 1167839."
Klebsiella variicola R3J3HD7,27.7 ± 14.19,nmol of ethylene h−1,27.7 ± 14.19,nmol/tube/h,"Rios-Galicia, B., Villagómez-Garfias, C., De la Vega-Camarillo, E., Guerra-Camacho, J. E., Medina-Jaritz, N., Arteaga-Garibay, R. I., ... & Hernández-Rodríguez, C. (2021). The Mexican giant maize of Jala landrace harbour plant-growth-promoting rhizospheric and endophytic bacteria. 3 Biotech, 11(10), 447."
Kocuria polaris,6.10 ± 2.97,nM ml−1 h−1,6.10 ,nmol/mL/h,"Abadi, V. A. J. M., Sepehri, M., Rahmani, H. A., Zarei, M., Ronaghi, A., Taghavi, S. M., & Shamshiripour, M. (2020). Role of dominant phyllosphere bacteria with plant growth–promoting characteristics on growth and nutrition of maize (Zea mays L.). Journal of Soil Science and Plant Nutrition, 20, 2348-2363."
Kocuria rosea,256,nmol/h/vial,256,nmol/tube/h,"Mukhtar, S., Zareen, M., Khaliq, Z., Mehnaz, S., & Malik, K. A. (2020). Phylogenetic analysis of halophyte‐associated rhizobacteria and effect of halotolerant and halophilic phosphate‐solubilizing biofertilizers on maize growth under salinity stress conditions. Journal of applied microbiology, 128(2), 556-573."
Kosakonia arachidis,35.14 ± 0.52,n moL C2H4 mg protein h− 1,35.14,nmol/mg/h,"Singh, R. K., Singh, P., Guo, D. J., Sharma, A., Li, D. P., Li, X., ... & Li, Y. R. (2021). Root-derived endophytic diazotrophic bacteria Pantoea cypripedii AF1 and Kosakonia arachidis EF1 promote nitrogen assimilation and growth in sugarcane. Frontiers in microbiology, 12, 774707."
Kosakonia oryzae,20.41,nmol C2H4 mg protein h−1,20.41,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Guo, D. J., Song, Q. Q., Yang, L. T., ... & Li, Y. R. (2020). Plant-PGPR interaction study of plant growth-promoting diazotrophs Kosakonia radicincitans BA1 and Stenotrophomonas maltophilia COA2 to enhance growth and stress-related gene expression in Saccharum spp. Journal of Plant Interactions, 15(1), 427-445."
Kosakonia oryzae,10.29 ± 0.15,n moL C2H4 mg protein h− 1,10.29,nmol/mg/h,"Singh, R. K., Singh, P., Guo, D. J., Sharma, A., Li, D. P., Li, X., ... & Li, Y. R. (2021). Root-derived endophytic diazotrophic bacteria Pantoea cypripedii AF1 and Kosakonia arachidis EF1 promote nitrogen assimilation and growth in sugarcane. Frontiers in microbiology, 12, 774707."
